代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高价,最低价,今开,昨收,量比,换手率,市盈率(动态),市净率
834407,驰诚股份,26.33,29.96,6.07,108935,254763124.79,30.16,26.33,20.22,20.48,20.26,2.67,31.34,97.39,8.45
300457,赢合科技,33.4,20.01,5.57,893046,2637325916.18,23.5,33.4,26.86,27.97,27.83,1.38,14.01,39.99,3.31
688521,芯原股份,183.6,20.0,30.6,395074,6937017630.0,12.16,183.6,165.0,165.77,153.0,1.08,7.89,-150.89,26.79
300697,电工合金,18.18,20.0,3.03,817483,1419353880.19,18.35,18.18,15.4,15.41,15.15,6.9,24.68,47.77,6.77
688627,精智达,134.05,20.0,22.34,75469,951452829.0,20.0,134.05,111.71,113.22,111.71,2.77,10.43,206.01,7.49
688028,沃尔德,43.26,15.36,5.76,253277,1098069227.0,18.64,45.0,38.01,38.01,37.5,1.77,16.78,74.85,3.35
300475,香农芯创,73.83,14.45,9.32,890021,6364310523.33,20.29,77.41,64.32,66.0,64.51,1.92,20.03,108.47,10.72
688228,开普云,160.93,14.13,19.93,78609,1232531065.0,16.78,168.66,145.0,145.0,141.0,1.71,11.64,1438.28,8.37
300223,北京君正,84.95,14.1,10.5,686829,5634765207.76,18.78,87.98,74.0,74.46,74.45,4.88,16.33,100.91,3.3
301308,江波龙,110.98,13.83,13.48,321973,3459350598.76,15.46,115.1,100.03,101.0,97.5,3.76,11.73,1575.1,6.9
688656,浩欧博,166.0,13.31,19.5,34046,538168807.0,23.72,175.0,140.25,143.87,146.5,1.61,5.36,432.96,12.94
688593,新相微,22.52,12.71,2.54,486850,1035750434.0,16.97,23.0,19.61,20.0,19.98,3.86,15.09,949.89,6.7
300528,幸福蓝海,29.1,12.36,3.2,862795,2358443142.35,24.79,30.92,24.5,25.25,25.9,1.13,23.16,627.9,20.04
688428,诺诚健华-U,29.89,12.16,3.24,213278,614712289.0,16.21,30.99,26.67,26.71,26.65,2.28,7.95,-876.42,7.85
300252,金信诺,16.13,12.01,1.73,2310068,3823013492.68,8.82,17.28,16.01,16.01,14.4,4.74,41.34,1035.63,4.9
301487,盟固利,28.11,11.86,2.98,767998,2091129519.83,20.89,29.94,24.69,25.5,25.13,1.73,28.15,2126.06,6.86
688513,苑东生物,59.15,11.84,6.26,74435,423573568.0,14.1,60.08,52.62,53.14,52.89,2.0,4.22,38.23,3.76
871634,新威凌,34.14,11.61,3.55,91697,308816365.19,17.36,35.98,30.67,30.69,30.59,1.92,22.93,122.13,7.94
688325,赛微微电,74.68,11.0,7.4,92812,666170454.0,20.51,79.8,66.0,66.61,67.28,3.69,17.24,81.75,3.8
300212,易华录,24.31,10.9,2.39,887893,2186358995.65,14.1,26.0,22.91,22.91,21.92,5.33,12.71,-27.62,35.67
688766,普冉股份,86.69,10.8,8.45,154642,1319207321.0,14.94,89.89,78.2,78.79,78.24,3.22,10.45,157.54,5.73
300478,杭州高新,22.08,10.62,2.12,225096,482126606.16,17.94,23.4,19.82,19.85,19.96,1.4,17.77,-204.02,45.79
688013,天臣医疗,67.25,10.57,6.43,38812,250193893.0,12.81,68.0,60.21,61.38,60.82,1.59,4.78,56.6,9.5
688110,东芯股份,110.24,10.26,10.26,330982,3593041864.0,15.46,113.98,98.52,99.3,99.98,1.14,7.48,-219.67,15.55
600162,香江控股,1.96,10.11,0.18,1390695,263867488.0,9.55,1.96,1.79,1.79,1.78,3.17,4.25,-161.39,1.09
002269,美邦服饰,2.94,10.11,0.27,5337619,1512388423.72,10.86,2.94,2.65,2.72,2.67,1.07,21.24,371.93,25.22
002256,兆新股份,3.16,10.1,0.29,2012483,610571370.44,9.41,3.16,2.89,2.91,2.87,0.83,10.31,1021.35,5.31
301357,北方长龙,132.92,10.09,12.18,108888,1409985133.72,16.48,139.9,120.0,120.41,120.74,1.46,45.75,-5785.39,11.25
600169,太原重工,2.62,10.08,0.24,1534023,392227865.0,10.92,2.62,2.36,2.38,2.38,5.41,4.6,100.0,1.65
002146,荣盛发展,1.75,10.06,0.16,3555652,604350632.31,10.69,1.75,1.58,1.59,1.59,1.63,9.09,-1.33,0.63
002042,华孚时尚,5.58,10.06,0.51,1169539,635695001.51,10.26,5.58,5.06,5.07,5.07,2.81,6.88,189.06,1.65
002772,众兴菌业,10.09,10.03,0.92,712540,703860336.48,8.62,10.09,9.3,9.33,9.17,5.01,18.26,28.74,1.22
002627,三峡旅游,7.02,10.03,0.64,525610,361830412.26,10.03,7.02,6.38,6.38,6.38,0.96,7.33,39.98,1.65
000980,众泰汽车,3.73,10.03,0.34,5541098,2017066600.16,10.03,3.73,3.39,3.44,3.39,1.44,11.01,-63.6,215.57
600601,方正科技,11.3,10.03,1.03,3393066,3761556130.0,8.28,11.3,10.45,10.66,10.27,0.71,8.14,139.93,10.66
002905,金逸影视,13.72,10.02,1.25,613998,822933515.68,8.26,13.72,12.69,12.95,12.47,1.74,17.57,79.74,47.64
